sku,name,desc,price,max_price_ol
RAI0007,Silver Rain Design mStand Support,Silver Rain Design mStand Support,59.99,
APP0023,Apple Mac Keyboard Keypad Spanish,Apple Mac Keyboard Keypad Spanish,59.0,
APP0025,Mighty Mouse Apple Mouse for Mac,Mighty Mouse Apple Mouse for Mac,59.0,
APP0072,Apple Dock to USB Cable iPhone and iPod white,Apple Dock to USB Cable iPhone and iPod white,25.0,
KIN0007,Mac Memory Kingston 2GB 667MHz DDR2 SO-DIMM,Mac Memory Kingston 2GB 667MHz DDR2 SO-DIMM,34.99,
APP0073,Apple Composite AV Cable iPhone and iPod white,Apple Composite AV Cable iPhone and iPod white,45.0,
KIN0008,Mac Memory Kingston 1GB 667MHz DDR2 SO-DIMM,Mac Memory Kingston 1GB 667MHz DDR2 SO-DIMM,18.99,
KIN0009,Mac Memory Kingston 2GB 800MHz DDR2 SO-DIMM,Mac Memory Kingston 2GB 800MHz DDR2 SO-DIMM,36.99,
KIN0001-2,Mac memory Kingston 4GB (2x2GB) 667MHz DDR2 SO-DIMM,Mac memory Kingston 4GB (2x2GB) 667MHz DDR2 SO-DIMM,74.0,
APP0100,Apple Adapter Mini Display Port to VGA,Apple Adapter Mini Display Port to VGA,35.0,
APP0101,Apple Mini DisplayPort to DVI Adapter,Apple Mini DisplayPort to DVI Adapter,35.0,
SEN0021,Sennheiser CX 300-II Precision headphones iPhone iPad and iPod black,Sennheiser CX 300-II Precision headphones iPhone iPad and iPod black,49.99,
APP0111,Apple USB Ethernet Adapter Mac,Apple USB Ethernet Adapter Mac,35.0,
APP0156,45W MagSafe charger Apple MacBook Air,45W MagSafe charger Apple MacBook Air,89.0,
MOS0013,Adapter Moshi FireWire 400 to FireWire 800,Adapter Moshi FireWire 400 to FireWire 800,20.0,
MOS0021,Clearguard Moshi MacBook Pro and Air,Clearguard Moshi MacBook Pro and Air,24.95,
APP0206,"60W MagSafe charger Apple MacBook and MacBook Pro 13 ""","60W MagSafe charger Apple MacBook and MacBook Pro 13 """,89.0,
HGD0007,"Henge Docks Docking Station MacBook Pro 13 ""","Henge Docks Docking Station MacBook Pro 13 """,69.99,
MUV0009,Muvit Back Clear Case iPhone 4 / 4S Transparent,Muvit Back Clear Case iPhone 4 / 4S Transparent,9.99,
APP0234,Apple Dock Connector to VGA,Apple Dock Connector to VGA,35.0,
APP0247,"85W MagSafe charger Apple MacBook Pro 15 ""/ 17""","85W MagSafe charger Apple MacBook Pro 15 ""/ 17""",89.0,
APP0233,Apple iPad Camera Connection connector,Apple iPad Camera Connection connector,35.0,
JMO0014,Just Mobile Upstand iPad support,Just Mobile Upstand iPad support,49.95,
MOB0007,Mobee Magic Charger Charger Magic Mouse,Mobee Magic Charger Charger Magic Mouse,49.99,
